ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source,our_measures,category,affected_pcodes,end_date,add_npi_id,remove_npi_id
5338,Sudan,SDN,Khartoum State,,Africa,add,Movement restrictions,Curfews,No,"During lockdown period people may only access neighbourhood shops, bakeries and pharmacies between 6:00 am and 1:00 pm daily.",Not available,2020-04-18,Reliefweb,Other organisations,https://reliefweb.int/report/sudan/sudan-situation-report-30-apr-2020-enar,2020-04-14,,social distancing,reproduction number-based,,,,
6607,Sudan,SDN,,,Africa,add,Movement restrictions,International flights suspension,No,Closure of airports for domestic and international passenger flights extended until May 20 amid the spread of COVID-19.,Not applicable,2020-04-20,News Ghana,Media,https://newsghana.com.gh/sudan-extends-airports-closure-amid-coronavirus-spread/,2020-04-21,,closing borders,mobility-based,,,,
6608,Sudan,SDN,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,Closure of airports for domestic and international passenger flights extended until May 20 amid the spread of COVID-19.,Not applicable,2020-04-20,News Ghana,Media,https://newsghana.com.gh/sudan-extends-airports-closure-amid-coronavirus-spread/,2020-04-21,,restricting inter-regional movement,mobility-based,,,,
8603,Sudan,SDN,Khartoum State,,Africa,add,Social distancing,Closure of businesses and public services,No,Prayers in mosques and church services have been suspended in Khartoum state during the three-week lockdown period.,Not available,2020-04-18,Reliefweb,Other organisations,https://reliefweb.int/report/sudan/sudan-situation-report-30-apr-2020-enar,2020-05-01,,closing businesses,reproduction number-based,,,,
9844,Sudan,SDN,Khartoum,,Africa,add,Lockdown,Partial lockdown,No,Lockdown due to end in Khartoum will be extended for a further 10 days,Not available,2020-05-09,AA,Media,https://www.aa.com.tr/en/africa/coronavirus-cases-exceed-1-000-mark-in-sudan/1834359,2020-05-11,,partial lockdown,reproduction number-based,,,,
10043,Sudan,SDN,The Red Sea State,,Africa,add,Social distancing,Limit public gatherings,No,"The authorities ordered the closure of shops and the markets of Port Sudan on 3 pm every day. Bakeries, pharmacies, and health institutions are excluded.",,2020-05-01,All Africa,Media,https://allafrica.com/stories/202005040361.html,2020-05-12,,reduction of size of gatherings,reproduction number-based,,,,
10044,Sudan,SDN,Kassala,,Africa,add,Social distancing,Limit public gatherings,No,"Banned gatherings, the collective breaking of the Ramadan fasting, and congregational prayers in all mosques and squares on Thursday until further notice.",,2020-04-30,All Africa,Media,https://allafrica.com/stories/202005040361.html,2020-05-12,,reduction of size of gatherings,reproduction number-based,,,,
11301,Sudan,SDN,Khartoum,,Africa,add,Lockdown,Partial lockdown,No,"Sudan has extended a lockdown on the capital, Khartoum, by an additional two weeks to prevent the spread of coronavirus.",Up to detention,2020-05-19,BBC,Media,https://www.bbc.com/news/live/world-africa-47639452,2020-05-19,,partial lockdown,reproduction number-based,,,,
11776,Sudan,SDN,,,Africa,add,Movement restrictions,International flights suspension,No,"The closure of airports for international and domestic flights was extended until 31 May 2020. This excludes scheduled cargo, humanitarian aid and technical and humanitarian support flights; airlines operating in the oil fields; and evacuation flights for foreign nationals.",Not applicable,2020-05-17,Relief Web ,Other organisations,https://reliefweb.int/report/sudan/sudan-situation-report-21-may-2020-enar,2020-05-25,,closing borders,mobility-based,,,,
11777,Sudan,SDN,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,"The closure of airports for international and domestic flights was extended until 31 May 2020. This excludes scheduled cargo, humanitarian aid and technical and humanitarian support flights; airlines operating in the oil fields; and evacuation flights for foreign nationals.",Not applicable,2020-05-17,Relief Web ,Other organisations,https://reliefweb.int/report/sudan/sudan-situation-report-21-may-2020-enar,2020-05-25,,restricting inter-regional movement,mobility-based,,,,
13031,Sudan,SDN,Khartoum,,Africa,add,Lockdown,Partial lockdown,No,Sudan decided Monday to extend a partial lockdown imposed in the capital Khartoum since March for an additional 14 (until 18 June) days to stem the spread of the novel coronavirus.  ,Up to detention,2020-06-03,AA,Media,https://www.aa.com.tr/en/africa/covid-19-sudan-extends-partial-lockdown-until-june-18/1861417,2020-06-05,,partial lockdown,reproduction number-based,,,,
13032,Sudan,SDN,,,Africa,add,Movement restrictions,International flights suspension,No,"Sudan will keep its airports closed for both internal and international flights until June 14, the state news agency SUNA said on Sunday.",Not applicable,2020-05-31,Radio Tamazuj,Media,https://radiotamazuj.org/en/news/article/sudan-airports-to-remain-closed-until-june-14,2020-06-05,,closing borders,mobility-based,,,,
13033,Sudan,SDN,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,"Sudan will keep its airports closed for both internal and international flights until June 14, the state news agency SUNA said on Sunday.",Not applicable,2020-05-31,Radio Tamazuj,Media,https://radiotamazuj.org/en/news/article/sudan-airports-to-remain-closed-until-june-14,2020-06-05,,restricting inter-regional movement,mobility-based,,,,
13034,Sudan,SDN,,,Africa,add,Movement restrictions,Curfews,No,Sudan has extended its curfew for two weeks in an effort to curb the spread of the Covid-19 pandemic. The Security and Defence Council approved the extension of the curfew in the capital Khartoum until June 18. But it allowed for more movement in the city from 6am to 3pm on condition that residents adhere to safety and health regulations.,Up to detention,2020-06-03,All Africa,Media,https://allafrica.com/stories/202006040198.html,2020-06-05,,social distancing,reproduction number-based,,,,
