ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,COMMENTS,NON_COMPLIANCE,DATE_IMPLEMENTED,SOURCE,SOURCE_TYPE,LINK,ENTRY_DATE,Alternative source,our_measures,category,affected_pcodes,end_date,add_npi_id,remove_npi_id,compliance,use_in_model
2707,Congo DR,COD,Kinshasa,,Africa,add,Lockdown,Partial lockdown,No,"All residents of Kinshasa, apart from essential workers such as medical staff, would have to stay at home for four days minimum. Update 03/04/2020, the measure has been postponed but is expected to be implemented for 14 days.",Not applicable,2020-03-28,BBC,Media,https://www.bbc.com/news/topics/cvenzmgylgwt/democratic-republic-of-congo,2020-03-27,https://cd.usembassy.gov/covid-19-information/,partial lockdown,reproduction number-based,['CD10'],,,['6436'],,
5046,Congo DR,COD,"Kinshasa, Goma",,Africa,add,Lockdown,Partial lockdown,No,"The Gombe neighborhood of Kinshasa, as well as the city of Goma, are under a 14-day confinement until April 20.",Not available,2020-04-06,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-04-12,https://cd.usembassy.gov/covid-19-information/,partial lockdown,reproduction number-based,['CD10'],,,['7003'],,
6432,Congo DR,COD,,,Africa,add,Social distancing,Limit public gatherings,No,Religious gathering are forbidden until 17th of April. ,Not applicable,2020-03-19,BBC,Media,https://www.bbc.com/afrique/region-51959819,2020-04-20,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,reduction of size of gatherings,reproduction number-based,['CD'],,,,,
6433,Congo DR,COD,,,Africa,add,Public health measures,Amendments to funeral and burial regulations,No,"Funerals must happen directly at the morgue, and with a limited number of people.",Not applicable,2020-03-19,BBC,Media,https://www.bbc.com/afrique/region-51959819,2020-04-20,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,reduction of size of gatherings,reproduction number-based,['CD'],,,,,
6435,Congo DR,COD,,,Africa,add,Social distancing,Limit public gatherings,No,Sport activities in stadium and other sport halls are suspended.,Not applicable,2020-03-19,BBC,Media,https://www.bbc.com/afrique/region-51959819,2020-04-20,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,reduction of size of gatherings,reproduction number-based,['CD'],,,,,
6436,Congo DR,COD,,,Africa,remove,Lockdown,Partial lockdown,No,Partial lockdown of Kinshasa is delayed to a later date.,Not applicable,2020-03-27,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-20,,partial lockdown,reproduction number-based,['CD10'],,['2707'],,,
7002,Congo DR,COD,Kinshasa,,Africa,add,Public health measures,Requirement to wear protective gear in public,No,Requirement to wear face masks in public spaces. The police will issue fines of 5000 Congolese Franc ($3) if masks are not worn.,Fines,2020-04-20,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-22,https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus,face mask wearing,reproduction number-based,['CD10'],,,,,
7003,Congo DR,COD,Kinshasa,,Africa,remove,Lockdown,Partial lockdown,No,"Confinment of the Gombe neighborhood of Kinshasa will be slowy phased out, with local checkpoints remaining in place.",Not available,2020-04-20,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-22,,partial lockdown,reproduction number-based,['CD10'],,['5046'],,,
7004,Congo DR,COD,Kinshasa,,Africa,add,Movement restrictions,Checkpoints within the country,No,Neighborhoods around Gombe will be subject to increased health screening.,Not available,2020-04-20,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-22,,restricting inter-regional movement,mobility-based,['CD10'],,,,,
7005,Congo DR,COD,"Lubumbashi, Goma, Beni, Butembo and Bukavu",,Africa,add,Lockdown,Partial lockdown,No,"Cities of Lubumbashi, Goma, Beni, Butembo et Bukavu are under quarantine.",Not available,2020-04-22,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-04-22,,partial lockdown,reproduction number-based,"['CD7101', 'CD7101', 'CD6109', 'CD6110', 'CD6201']",,,,,
7006,Congo DR,COD,"Lubumbashi, Lualaba",,Africa,add,Movement restrictions,Curfews,No,Curfew in Lualaba and Lubumbashi from 10pm to 5am.,Not available,2020-04-22,Ministry of Foreign Affairs — France,Government,https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/,2020-04-22,,social distancing,reproduction number-based,"['CD72', 'CD7101']",,,,,
7007,Congo DR,COD,South Kivu,,Africa,add,Public health measures,Requirement to wear protective gear in public,No,Wearing facemasks is mandatory in South Kivu.,Not available,2020-04-21,Foreign Ministry — UK,Government,https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus,2020-04-22,,face mask wearing,reproduction number-based,['CD62'],,,,,
7008,Congo DR,COD,South Kivu,,Africa,add,Public health measures,Isolation and quarantine policies,No,Self-isolation for people at risk (over 60 or with existing health issues) is mandatory in South Kivu.,Not available,2020-04-21,Foreign Ministry — UK,Government,https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus,2020-04-22,,social distancing,reproduction number-based,['CD62'],,,,,
7009,Congo DR,COD,,,Africa,add,Movement restrictions,Domestic travel restrictions,No,"Internal travel between the towns of Goma, Beni and Butembo in eastern DRC has been suspended with the exception of cargo",Not available,2020-04-21,Foreign Ministry — UK,Government,https://www.gov.uk/foreign-travel-advice/democratic-republic-of-the-congo/coronavirus,2020-04-22,,restricting inter-regional movement,mobility-based,"['CD7101', 'CD6109', 'CD6110']
",,,,,
8320,Congo DR,COD,Haut-Katanga,,Africa,add,Lockdown,Partial lockdown,No,The mineral-rich province of Haut-Katanga begins a 24-hour lockdown to help authorities contact trace.,Not applicable,2020-04-29,Reuters,Media,https://af.reuters.com/article/commoditiesNews/idAFL5N2CG591,2020-04-30,,partial lockdown,reproduction number-based,['CD71'],,,,,
8321,Congo DR,COD,,,Africa,add,Movement restrictions,Checkpoints within the country,No,Checkpoints are set up all around Kinshasa to ensure domestic travel ban is respected.,Not applicable,2020-03-25,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-30,,restricting inter-regional movement,mobility-based,['CD10'],,,,,
8324,Congo DR,COD,,,Africa,add,Social distancing,Schools closure ,No,School closure extended until further notice. ,Not applicable,2020-04-18,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-30,,school closure,contact-based,['CD'],,,,,
8327,Congo DR,COD,,,Africa,add,Social distancing,Limit public gatherings,No,Extension of religious gathering suspension until further notice. ,Not applicable,2020-04-18,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-30,,reduction of size of gatherings,reproduction number-based,['CD'],,,,,
8328,Congo DR,COD,,,Africa,add,Movement restrictions,International flights suspension,No,Extension of international flight suspensions until further notice.,Not applicable,2020-04-04,Government — Congo DR,Government,https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,2020-04-30,,closing borders,mobility-based,['CD'],,,,,
9728,Congo DR,COD,,,Africa,remove,Movement restrictions,Border closure ,No,Partial reopening of the border with Zambia.,Not applicable,2020-05-08,CSIS,Other organisations,https://www.csis.org/programs/africa-program/covid-19-coverage/daily-africa-updates,2020-05-11,,closing borders,mobility-based,"['CD71', 'CD72']",,['2704'],,,
10482,Congo DR,COD,Matadi,,Africa,add,Public health measures,Requirement to wear protective gear in public,No,Mandatory use of face mask in Matadi (Congo Central Province).,Not available,2020-05-11,GardaWorld,Media,https://www.garda.com/crisis24/news-alerts/340706/drc-use-of-face-masks-compulsory-in-matadi-kongo-central-province-from-may-11-to-curb-spread-of-covid-19-update-14,2020-05-14,,face mask wearing,reproduction number-based,['CD20'],,,,,
10483,Congo DR,COD,Lubumbashi,,Africa,add,Public health measures,Requirement to wear protective gear in public,No,Mandatory use of face mask in Lubumbashi (Haut-Katanga Province).,Not available,2020-05-04,GardaWorld,Media,https://www.garda.com/crisis24/news-alerts/338756/drc-face-mask-use-compulsory-in-public-from-may-4-in-lubumbashi-update-12,2020-05-14,,face mask wearing,reproduction number-based,['CD7101'],,,,,
11515,Congo DR,COD,Matadi,,Africa,add,Lockdown,Partial lockdown,No,Matadi will be under partial lockdown from the 22nd to the 25th of May.,Not applicable,2020-05-22, Infobascongo,Media,http://www.infobascongo.net/beta/?p=26697,2020-05-20,,partial lockdown,reproduction number-based,['CD20'],,,,,
12062,Congo DR,COD,Goma,,Africa,add,Public health measures,Isolation and quarantine policies,No,"The city of Goma will be under confinement for 14 days, effective May 20.",Not available,2020-05-20,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-05-27,,social distancing,reproduction number-based,['CD6101'],,,,,
12063,Congo DR,COD,Goma,,Africa,add,Movement restrictions,Curfews,No,A curfew will be enforced within the city of Goma between 8 pm and 5 am. Movements within the city between 5 am and 8 pm appear to be permitted.,Not available,2020-05-20,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-05-27,,social distancing,reproduction number-based,['CD6101'],,,,,
12064,Congo DR,COD,Goma,,Africa,add,Movement restrictions,Domestic travel restrictions,No,Travel in and out of Goma at city limits will be restricted for 14 days. Movements within the city between 5 am and 8 pm appear to be permitted.,Not available,2020-05-20,US Embassy,Government,https://cd.usembassy.gov/covid-19-information/,2020-05-27,,restricting inter-regional movement,mobility-based,['CD6101'],,,,,
